Prompt,App,Accuracy,Rater
Prompt1,ChatSQC,5,Rater 1
Prompt1,GPT-3.5,5,Rater 1
Prompt1,GPT-4,5,Rater 1
Prompt2,ChatSQC,5,Rater 1
Prompt2,GPT-3.5,3,Rater 1
Prompt2,GPT-4,2,Rater 1
Prompt3,ChatSQC,3,Rater 1
Prompt3,GPT-3.5,4,Rater 1
Prompt3,GPT-4,1,Rater 1
Prompt4,ChatSQC,5,Rater 1
Prompt4,GPT-3.5,5,Rater 1
Prompt4,GPT-4,5,Rater 1
Prompt5,ChatSQC,4,Rater 1
Prompt5,GPT-3.5,5,Rater 1
Prompt5,GPT-4,4,Rater 1
Prompt6,ChatSQC,3,Rater 1
Prompt6,GPT-3.5,4,Rater 1
Prompt6,GPT-4,5,Rater 1
Prompt7,ChatSQC,4,Rater 1
Prompt7,GPT-3.5,5,Rater 1
Prompt7,GPT-4,5,Rater 1
Prompt8,ChatSQC,5,Rater 1
Prompt8,GPT-3.5,3,Rater 1
Prompt8,GPT-4,3,Rater 1
Prompt1,ChatSQC,5,Rater 2
Prompt1,GPT-3.5,5,Rater 2
Prompt1,GPT-4,5,Rater 2
Prompt2,ChatSQC,5,Rater 2
Prompt2,GPT-3.5,4,Rater 2
Prompt2,GPT-4,5,Rater 2
Prompt3,ChatSQC,5,Rater 2
Prompt3,GPT-3.5,4,Rater 2
Prompt3,GPT-4,4,Rater 2
Prompt4,ChatSQC,5,Rater 2
Prompt4,GPT-3.5,5,Rater 2
Prompt4,GPT-4,5,Rater 2
Prompt5,ChatSQC,5,Rater 2
Prompt5,GPT-3.5,5,Rater 2
Prompt5,GPT-4,5,Rater 2
Prompt6,ChatSQC,3,Rater 2
Prompt6,GPT-3.5,4,Rater 2
Prompt6,GPT-4,5,Rater 2
Prompt7,ChatSQC,2,Rater 2
Prompt7,GPT-3.5,3,Rater 2
Prompt7,GPT-4,3,Rater 2
Prompt8,ChatSQC,5,Rater 2
Prompt8,GPT-3.5,5,Rater 2
Prompt8,GPT-4,5,Rater 2
Prompt1,ChatSQC,5,Rater 3
Prompt1,GPT-3.5,5,Rater 3
Prompt1,GPT-4,5,Rater 3
Prompt2,ChatSQC,5,Rater 3
Prompt2,GPT-3.5,4,Rater 3
Prompt2,GPT-4,4,Rater 3
Prompt3,ChatSQC,2,Rater 3
Prompt3,GPT-3.5,2,Rater 3
Prompt3,GPT-4,5,Rater 3
Prompt4,ChatSQC,5,Rater 3
Prompt4,GPT-3.5,5,Rater 3
Prompt4,GPT-4,5,Rater 3
Prompt5,ChatSQC,3,Rater 3
Prompt5,GPT-3.5,4,Rater 3
Prompt5,GPT-4,4,Rater 3
Prompt6,ChatSQC,3,Rater 3
Prompt6,GPT-3.5,4,Rater 3
Prompt6,GPT-4,5,Rater 3
Prompt7,ChatSQC,2,Rater 3
Prompt7,GPT-3.5,3,Rater 3
Prompt7,GPT-4,4,Rater 3
Prompt8,ChatSQC,5,Rater 3
Prompt8,GPT-3.5,4,Rater 3
Prompt8,GPT-4,5,Rater 3
Prompt1,ChatSQC,5,Rater 4
Prompt1,GPT-3.5,5,Rater 4
Prompt1,GPT-4,5,Rater 4
Prompt2,ChatSQC,5,Rater 4
Prompt2,GPT-3.5,5,Rater 4
Prompt2,GPT-4,4,Rater 4
Prompt3,ChatSQC,4,Rater 4
Prompt3,GPT-3.5,4,Rater 4
Prompt3,GPT-4,5,Rater 4
Prompt4,ChatSQC,5,Rater 4
Prompt4,GPT-3.5,5,Rater 4
Prompt4,GPT-4,5,Rater 4
Prompt5,ChatSQC,5,Rater 4
Prompt5,GPT-3.5,4,Rater 4
Prompt5,GPT-4,4,Rater 4
Prompt6,ChatSQC,4,Rater 4
Prompt6,GPT-3.5,5,Rater 4
Prompt6,GPT-4,5,Rater 4
Prompt7,ChatSQC,4,Rater 4
Prompt7,GPT-3.5,4,Rater 4
Prompt7,GPT-4,5,Rater 4
Prompt8,ChatSQC,5,Rater 4
Prompt8,GPT-3.5,5,Rater 4
Prompt8,GPT-4,5,Rater 4
